"Reference"," Quantity"," Value"," Footprint"," Datasheet"," mpn"," digikey#"," newark#"," mouser#"
"R1312 R1413 R1423 R1812 R1913 R1923 R2312 R2413 R2423 R2812 R2913 R2923 R312 R3312 R3413 R3423 R3812 R3913 R3923 R413 R423 R812 R913 R923 ",24,"75R","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","ERA-3AEB750V","P75DBCT-ND",,
"R1311 R1313 R1314 R1410 R1415 R1416 R1419 R1811 R1813 R1814 R1910 R1915 R1916 R1919 R2311 R2313 R2314 R2410 R2415 R2416 R2419 R2811 R2813 R2814 R2910 R2915 R2916 R2919 R311 R313 R314 R3311 R3313 R3314 R3410 R3415 R3416 R3419 R3811 R3813 R3814 R3910 R3915 R3916 R3919 R410 R415 R416 R419 R811 R813 R814 R910 R915 R916 R919 ",56,"332R","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","ERA-3AEB3320V","P332DBCT-ND",,
"R1315 R1411 R1420 R1815 R1911 R1920 R2315 R2411 R2420 R2815 R2911 R2920 R315 R3315 R3411 R3420 R3815 R3911 R3920 R411 R420 R815 R911 R920 ",24,"215R","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","ERA-3AEB2150V","P215DBCT-ND",,
"R1308 R1321 R1407 R1417 R1427 R1808 R1821 R1907 R1917 R1927 R2308 R2321 R2407 R2417 R2427 R2808 R2821 R2907 R2917 R2927 R308 R321 R3308 R3321 R3407 R3417 R3427 R3808 R3821 R3907 R3917 R3927 R407 R417 R427 R808 R821 R907 R917 R927 ",40,"499R","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","ERA-3AEB4990V","P499DBCT-ND",,
"R1405 R1905 R2405 R2905 R3405 R3905 R405 R905 ",8,"69R8","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","ERA-3AEB69R8V","P69.8DBCT-ND",,
"R4201 R4202 ",2,"2R","Resistors_SMD:R_0603","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English","CPF0603F2R0C1","A102258TR-ND","51R8609",
"R4203 R4204 ",2,"0R020","Resistors_SMD:R_2512","https://www.seielect.com/Catalog/SEI-CSR_CSRN.pdf","CSRN2512FK20L0","CSRN2512FK20L0CT-ND",,
"R4205 R4206 R4207 R4208 R4503 R4504 ",6,"100R","Resistors_SMD:R_0603","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=DS&DocLang=English","RP73PF1J100RBTDF","A110012CT-ND",,
"R4209 R4210 ",2,"4k99","Resistors_SMD:R_0603","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","RMCF0603FT4K99","RMCF0603FT4K99CT-ND",,
"R4405 R4406 R4407 R4408 ",4,"150R","Resistors_SMD:R_0603","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ151V+7+WW","ERJ-3GEYJ151V","P150GCT-ND",,
"R4501 ",1,"470R","Resistors_SMD:R_0603","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English","CRCW0603470RJNEA","A103101TR-ND","59M6817",
"R1002 R1502 R2002 R2501 R3002 R3502 R4002 R502 ",8,"0R","Resistors_SMD:R_0603","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEY0R00V+7+WW","ERJ-3GEY0R00V","P0.0GCT-ND",,
"R1102 R1103 R1602 R1603 R2102 R2103 R2602 R2603 R3102 R3103 R3602 R3603 R4102 R4103 R602 R603 ",16,"23k","Resistors_SMD:R_0603","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","ERJ-3EKF2322V","P23.2KHCT-ND",,
"RV1301 RV1401 RV1801 RV1901 RV2301 RV2401 RV2801 RV2901 RV301 RV3301 RV3401 RV3801 RV3901 RV401 RV801 RV901 ",16,"2k","Potentiometers:Potentiometer_Trimmer_Bourns_3224W","http://www.bourns.com/docs/Product-Datasheets/3224.pdf","3224W-1-202E","3224W-202ETR-ND",,
"S4401 ",1,"SW_DIP_x3","mech:DIP6-CTS","http://www.ctscorp.com/wp-content/uploads/2016/01/219-Dec-30-2008.pdf","219-3LPSTR","CT3115CT-ND",,
"TP1201 TP1202 TP1301 TP1302 TP1402 TP1701 TP1702 TP1801 TP1802 TP1902 TP201 TP202 TP2201 TP2202 TP2301 TP2302 TP2402 TP2701 TP2702 TP2801 TP2802 TP2902 TP301 TP302 TP3201 TP3202 TP3301 TP3302 TP3402 TP3701 TP3702 TP3801 TP3802 TP3902 TP402 TP701 TP702 TP801 TP802 TP902 ",40,"TESTPOINT","Measurement_Points:Measurement_Point_Round-TH_Small",,"DNI",,,
"U1301 U1302 U1401 U1402 U1403 U1801 U1802 U1901 U1902 U1903 U2301 U2302 U2401 U2402 U2403 U2801 U2802 U2901 U2902 U2903 U301 U302 U3301 U3302 U3401 U3402 U3403 U3801 U3802 U3901 U3902 U3903 U401 U402 U403 U801 U802 U901 U902 U903 ",40,"AD8099ARDZ","Housings_SOIC:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","http://www.analog.com/media/en/technical-documentation/data-sheets/AD8099.pdf","AD8099ACPZ-REEL7","AD8099ACPZ-REEL7-ND",,
"U1303 U1404 U1803 U1904 U2303 U2404 U2803 U2904 U303 U3303 U3404 U3803 U3904 U404 U803 U904 ",16,"LTC2057IMS","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","http://cds.linear.com/docs/en/datasheet/2057f.pdf","LTC2057IMS8#PBF","LTC2057IMS8#PBF-ND",,
"U4201 U4202 ",2,"LT6105","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","http://cds.linear.com/docs/en/datasheet/6105fa.pdf","LT6105HMS8#PBF","LT6105HMS8#PBF-ND","75M4760",
"U4401 U4402 U4403 U4404 ",4,"TMP20","smd-semi:SC-70-5","http://www.ti.com/lit/ds/symlink/tmp20.pdf","TMP20AIDCKT",,"87W5900",
"U4405 ",1,"LTC2495","Housings_DFN_QFN:QFN-38-1EP_5x7mm_Pitch0.5mm","http://cds.linear.com/docs/en/datasheet/2495fe.pdf","LTC2495IUHF#PBF","LTC2495IUHF#PBF-ND","56M5760",
"U4406 ",1,"LTC6078_[MSOP-8]","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","http://cds.linear.com/docs/en/datasheet/60789fa.pdf","LTC6078CMS8#PBF","LTC6078ACMS8#PBF-ND","Value",
"U4408 ",1,"DS4520","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://datasheets.maximintegrated.com/en/ds/DS4520.pdf","DS4520E+","DS4520E+-ND",,
"U1001 U1501 U2001 U2501 U3001 U3501 U4001 U501 ",8,"ADP7118ACP","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP7118.pdf","ADP7118ACPZN5.0-R7","ADP7118ACPZN5.0-R7CT-ND",,
"U1101 U1601 U2101 U2601 U3101 U3601 U4101 U601 ",8,"ADP7182ACPZN","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm","http://www.analog.com/media/en/technical-documentation/data-sheets/ADP7182.pdf","ADP7182ACPZN-R7","ADP7182ACPZN-R7CT-ND",,
