Ref,Val,Package,PosX,PosY,Rot,Side
R831,49R9,R_0603,62.750000,-84.250000,90.000000,top
R901,1k,R_0603,76.000000,-144.500000,0.000000,top
R902,1k,R_0603,76.000000,-142.000000,0.000000,top
R903,10R,R_0603,85.000000,-134.500000,90.000000,top
R904,10k,R_0603,82.500000,-139.750000,0.000000,top
R905,69R8,R_0603,82.500000,-136.750000,0.000000,top
R906,100k,R_0603,74.000000,-104.500000,270.000000,top
R907,499R,R_0603,82.500000,-133.750000,180.000000,top
R908,49R9,R_0603,87.750000,-126.500000,90.000000,top
R909,49R9,R_0603,84.750000,-84.250000,90.000000,top
R910,332R,R_0603,84.750000,-124.000000,90.000000,top
R911,215R,R_0603,85.500000,-121.750000,180.000000,top
R912,1k,R_0603,82.500000,-98.750000,180.000000,top
R913,75R,R_0603,82.500000,-117.250000,180.000000,top
R914,100k,R_0603,81.250000,-100.250000,180.000000,top
R915,332R,R_0603,84.750000,-104.000000,90.000000,top
R916,332R,R_0603,84.750000,-98.000000,90.000000,top
R917,499R,R_0603,82.500000,-114.250000,180.000000,top
R918,49R9,R_0603,87.750000,-107.000000,270.000000,top
R919,332R,R_0603,84.750000,-118.000000,90.000000,top
R920,215R,R_0603,85.500000,-101.750000,180.000000,top
R923,75R,R_0603,82.500000,-97.250000,0.000000,top
R927,499R,R_0603,82.500000,-94.250000,180.000000,top
R928,10R,R_0603,87.500000,-87.250000,270.000000,top
R1001,1k,R_0603,78.500000,-178.000000,0.000000,top
R1002,0R,R_0603,78.750000,-163.999999,180.000000,top
R1003,DNP,R_0603,76.000000,-162.500000,180.000000,top
R1004,DNP,R_0603,76.000000,-164.000000,180.000000,top
R1101,100k,R_0603,67.250000,-165.250000,180.000000,top
R1102,23k,R_0603,64.500000,-163.750000,180.000000,top
R1103,23k,R_0603,64.500000,-165.250000,180.000000,top
R1201,1k,R_0603,172.000000,-229.950000,0.000000,top
R1202,10k,R_0603,172.200000,-227.150000,0.000000,top
R1203,49R9,R_0603,173.500000,-238.750000,180.000000,top
R1301,1k,R_0603,100.750000,-148.000000,0.000000,top
R1302,1k,R_0603,104.750000,-148.000000,180.000000,top
R1303,100k,R_0603,96.000000,-104.500000,270.000000,top
R1304,10R,R_0603,105.750000,-134.500000,90.000000,top
R1305,10k,R_0603,103.500000,-138.500000,180.000000,top
R1306,100k,R_0603,102.250000,-100.250000,180.000000,top
R1307,1k,R_0603,103.500000,-98.750000,180.000000,top
R1308,499R,R_0603,103.500000,-135.250000,180.000000,top
R1309,DNP,R_0603,108.750000,-87.250000,90.000000,top
R1310,49R9,R_0603,108.750000,-126.500000,90.000000,top
R1311,332R,R_0603,103.500000,-136.750000,180.000000,top
R1312,75R,R_0603,103.500000,-97.250000,0.000000,top
R1313,332R,R_0603,105.750000,-124.000000,90.000000,top
R1314,332R,R_0603,106.000000,-98.000000,90.000000,top
